type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.gate,departure.delay,departure.scheduledTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.gate,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.terminal,arrival.baggage,departure.estimatedTime,arrival.delay,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway
departure,active,tlv,llbg,3,,15,2021-12-05t06:00:00.000,2021-12-05t06:15:00.000,2021-12-05t06:15:00.000,2021-12-05t06:15:00.000,mad,lemd,,2021-12-05t10:30:00.000,2021-12-05t10:01:00.000,el al,ly,ely,8397,ly8397,ely8397,iberia,ib,ibe,3317,ib3317,ibe3317,4s,4,2021-12-05t06:00:00.000,,,,
departure,active,tlv,llbg,3,,15,2021-12-05t06:00:00.000,2021-12-05t06:15:00.000,2021-12-05t06:15:00.000,2021-12-05t06:15:00.000,mad,lemd,,2021-12-05t10:30:00.000,2021-12-05t10:01:00.000,iberia,ib,ibe,3317,ib3317,ibe3317,,,,,,,4s,4,2021-12-05t06:00:00.000,,,,
departure,active,tlv,llbg,3,,,2021-12-05t06:00:00.000,,,,muc,eddm,,2021-12-05t09:15:00.000,,american airlines,aa,aal,8380,aa8380,aal8380,el al,ly,ely,353,ly353,ely353,1,,,,,,
departure,active,tlv,llbg,3,,,2021-12-05t06:00:00.000,,,,muc,eddm,,2021-12-05t09:15:00.000,,el al,ly,ely,353,ly353,ely353,,,,,,,1,,,,,,
departure,active,tlv,llbg,3,,3,2021-12-05t06:00:00.000,2021-12-05t06:03:00.000,2021-12-05t06:03:00.000,2021-12-05t06:03:00.000,dme,uudd,,2021-12-05t11:05:00.000,2021-12-05t10:45:00.000,s7 airlines,s7,sbi,4482,s74482,sbi4482,el al,ly,ely,611,ly611,ely611,,,2021-12-05t06:00:00.000,,,,
departure,active,tlv,llbg,3,,3,2021-12-05t06:00:00.000,2021-12-05t06:03:00.000,2021-12-05t06:03:00.000,2021-12-05t06:03:00.000,dme,uudd,,2021-12-05t11:05:00.000,2021-12-05t10:45:00.000,el al,ly,ely,611,ly611,ely611,,,,,,,,,2021-12-05t06:00:00.000,,,,
departure,unknown,tlv,llbg,3,,,2021-12-05t06:10:00.000,,,,gva,lsgg,,2021-12-05t09:50:00.000,,el al,ly,ely,345,ly345,ely345,,,,,,,1,,,,,,
departure,active,tlv,llbg,3,,10,2021-12-05t06:10:00.000,2021-12-05t06:19:00.000,2021-12-05t06:19:00.000,2021-12-05t06:19:00.000,fco,lirf,,2021-12-05t09:00:00.000,2021-12-05t08:32:00.000,american airlines,aa,aal,8388,aa8388,aal8388,el al,ly,ely,385,ly385,ely385,3,4,2021-12-05t06:28:00.000,,,,
departure,active,tlv,llbg,3,,10,2021-12-05t06:10:00.000,2021-12-05t06:19:00.000,2021-12-05t06:19:00.000,2021-12-05t06:19:00.000,fco,lirf,,2021-12-05t09:00:00.000,2021-12-05t08:32:00.000,tap air portugal,tp,tap,8898,tp8898,tap8898,el al,ly,ely,385,ly385,ely385,3,4,2021-12-05t06:28:00.000,,,,
departure,active,tlv,llbg,3,,10,2021-12-05t06:10:00.000,2021-12-05t06:19:00.000,2021-12-05t06:19:00.000,2021-12-05t06:19:00.000,fco,lirf,,2021-12-05t09:00:00.000,2021-12-05t08:32:00.000,el al,ly,ely,385,ly385,ely385,,,,,,,3,4,2021-12-05t06:28:00.000,,,,
departure,active,tlv,llbg,3,,20,2021-12-05t06:10:00.000,2021-12-05t06:30:00.000,2021-12-05t06:30:00.000,2021-12-05t06:30:00.000,saw,ltfj,,2021-12-05t09:30:00.000,2021-12-05t09:13:00.000,turkish airlines,tk,thy,7711,tk7711,thy7711,,,,,,,,,2021-12-05t07:00:00.000,,,,
departure,active,tlv,llbg,3,,12,2021-12-05t06:10:00.000,2021-12-05t06:22:00.000,2021-12-05t06:22:00.000,2021-12-05t06:22:00.000,lys,lfll,,2021-12-05t09:40:00.000,2021-12-05t09:25:00.000,el al,ly,ely,229,ly229,ely229,,,,,,,2,2a3,2021-12-05t06:10:00.000,,,,
departure,unknown,tlv,llbg,3,,,2021-12-05t06:15:00.000,,,,dxb,omdb,,2021-12-05t13:10:00.000,,arkia israeli airlines,iz,aiz,603,iz603,aiz603,,,,,,,1,,,,,,
departure,active,tlv,llbg,3,,13,2021-12-05t06:15:00.000,2021-12-05t06:27:00.000,2021-12-05t06:27:00.000,2021-12-05t06:27:00.000,ams,eham,,2021-12-05t10:25:00.000,2021-12-05t09:57:00.000,american airlines,aa,aal,8378,aa8378,aal8378,el al,ly,ely,337,ly337,ely337,,,2021-12-05t06:33:00.000,,,,
departure,active,tlv,llbg,3,,13,2021-12-05t06:15:00.000,2021-12-05t06:27:00.000,2021-12-05t06:27:00.000,2021-12-05t06:27:00.000,ams,eham,,2021-12-05t10:25:00.000,2021-12-05t09:57:00.000,el al,ly,ely,337,ly337,ely337,,,,,,,,,2021-12-05t06:33:00.000,,,,
departure,active,tlv,llbg,3,,10,2021-12-05t06:15:00.000,2021-12-05t06:25:00.000,2021-12-05t06:25:00.000,2021-12-05t06:25:00.000,dxb,omdb,,2021-12-05t11:15:00.000,2021-12-05t10:58:00.000,el al,ly,ely,971,ly971,ely971,,,,,,,1,,,,,,
departure,active,tlv,llbg,3,c04,17,2021-12-05t06:15:00.000,2021-12-05t06:32:00.000,2021-12-05t06:32:00.000,2021-12-05t06:32:00.000,vie,loww,,2021-12-05t09:00:00.000,2021-12-05t08:51:00.000,austrian,os,aua,860,os860,aua860,,,,,,,3,,2021-12-05t06:16:00.000,,,,
departure,active,tlv,llbg,3,,6,2021-12-05t06:30:00.000,2021-12-05t06:36:00.000,2021-12-05t06:36:00.000,2021-12-05t06:36:00.000,bcn,lebl,,2021-12-05t10:20:00.000,2021-12-05t09:49:00.000,american airlines,aa,aal,8389,aa8389,aal8389,el al,ly,ely,393,ly393,ely393,1,13,2021-12-05t06:45:00.000,,,,
departure,active,tlv,llbg,3,,6,2021-12-05t06:30:00.000,2021-12-05t06:36:00.000,2021-12-05t06:36:00.000,2021-12-05t06:36:00.000,bcn,lebl,,2021-12-05t10:20:00.000,2021-12-05t09:49:00.000,iberia,ib,ibe,2392,ib2392,ibe2392,el al,ly,ely,393,ly393,ely393,1,13,2021-12-05t06:45:00.000,,,,
departure,active,tlv,llbg,3,,6,2021-12-05t06:30:00.000,2021-12-05t06:36:00.000,2021-12-05t06:36:00.000,2021-12-05t06:36:00.000,bcn,lebl,,2021-12-05t10:20:00.000,2021-12-05t09:49:00.000,el al,ly,ely,393,ly393,ely393,,,,,,,1,13,2021-12-05t06:45:00.000,,,,
departure,active,tlv,llbg,1,,,2021-12-05t06:40:00.000,,,,etm,ller,,2021-12-05t07:40:00.000,,israir airlines,6h,isr,425,6h425,isr425,,,,,,,,,,,,,
