type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.delay,arrival.scheduledTime,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.terminal,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.baggage,arrival.gate
arrival,landed,muc,eddm,f21,30.0,2021-12-09t22:10:00.000,2021-12-09t22:25:00.000,2021-12-09t22:39:00.000,2021-12-09t22:39:00.000,2021-12-09t22:39:00.000,tlv,llbg,3,17.0,2021-12-10t02:50:00.000,2021-12-10t03:08:00.000,2021-12-10t03:07:00.000,2021-12-10t03:07:00.000,2021-12-10t03:07:00.000,lufthansa,lh,dlh,682,lh682,dlh682,1,,,,,,,,
arrival,scheduled,bcn,lebl,311,86.0,2021-12-09t21:45:00.000,2021-12-09t22:40:00.000,2021-12-09t23:10:00.000,2021-12-09t23:10:00.000,2021-12-09t23:10:00.000,tlv,llbg,3,56.0,2021-12-10t02:55:00.000,2021-12-10t03:51:00.000,,,,arkia israeli airlines,iz,aiz,272,iz272,aiz272,1,,,,,,,,
arrival,landed,add,haab,a15,15.0,2021-12-09t23:55:00.000,2021-12-09t23:55:00.000,2021-12-10t00:10:00.000,2021-12-10t00:10:00.000,2021-12-10t00:10:00.000,tlv,llbg,3,16.0,2021-12-10t03:00:00.000,2021-12-10t03:13:00.000,2021-12-10t03:15:00.000,2021-12-10t03:15:00.000,2021-12-10t03:15:00.000,el al,ly,ely,8804,ly8804,ely8804,2,ethiopian airlines,et,eth,404,et404,eth404,,
arrival,landed,add,haab,a15,15.0,2021-12-09t23:55:00.000,2021-12-09t23:55:00.000,2021-12-10t00:10:00.000,2021-12-10t00:10:00.000,2021-12-10t00:10:00.000,tlv,llbg,3,16.0,2021-12-10t03:00:00.000,2021-12-10t03:13:00.000,2021-12-10t03:15:00.000,2021-12-10t03:15:00.000,2021-12-10t03:15:00.000,ethiopian airlines,et,eth,404,et404,eth404,2,,,,,,,,
arrival,landed,lhr,egll,b38,38.0,2021-12-09t20:20:00.000,2021-12-09t21:03:00.000,2021-12-09t20:58:00.000,2021-12-09t20:58:00.000,2021-12-09t20:58:00.000,tlv,llbg,3,8.0,2021-12-10t03:05:00.000,2021-12-10t03:11:00.000,2021-12-10t03:12:00.000,2021-12-10t03:12:00.000,2021-12-10t03:12:00.000,american airlines,aa,aal,8373,aa8373,aal8373,2,el al,ly,ely,318,ly318,ely318,,
arrival,landed,lhr,egll,b38,38.0,2021-12-09t20:20:00.000,2021-12-09t21:03:00.000,2021-12-09t20:58:00.000,2021-12-09t20:58:00.000,2021-12-09t20:58:00.000,tlv,llbg,3,8.0,2021-12-10t03:05:00.000,2021-12-10t03:11:00.000,2021-12-10t03:12:00.000,2021-12-10t03:12:00.000,2021-12-10t03:12:00.000,aeromexico,am,amx,7876,am7876,amx7876,2,el al,ly,ely,318,ly318,ely318,,
arrival,landed,lhr,egll,b38,38.0,2021-12-09t20:20:00.000,2021-12-09t21:03:00.000,2021-12-09t20:58:00.000,2021-12-09t20:58:00.000,2021-12-09t20:58:00.000,tlv,llbg,3,8.0,2021-12-10t03:05:00.000,2021-12-10t03:11:00.000,2021-12-10t03:12:00.000,2021-12-10t03:12:00.000,2021-12-10t03:12:00.000,el al,ly,ely,318,ly318,ely318,2,,,,,,,,
arrival,landed,fco,lirf,e52,21.0,2021-12-09t23:10:00.000,2021-12-09t23:10:00.000,2021-12-09t23:30:00.000,2021-12-09t23:30:00.000,2021-12-09t23:30:00.000,tlv,llbg,3,,2021-12-10t03:30:00.000,2021-12-10t03:21:00.000,2021-12-10t03:23:00.000,2021-12-10t03:23:00.000,2021-12-10t03:23:00.000,italia trasporto aereo,az,ity,810,az810,ity810,1,,,,,,,,
arrival,landed,zrh,lszh,1,25.0,2021-12-09t22:45:00.000,2021-12-09t22:45:00.000,2021-12-09t23:09:00.000,2021-12-09t23:09:00.000,2021-12-09t23:09:00.000,tlv,llbg,3,18.0,2021-12-10t03:30:00.000,2021-12-10t03:48:00.000,2021-12-10t03:47:00.000,2021-12-10t03:47:00.000,2021-12-10t03:47:00.000,swiss,lx,swr,256,lx256,swr256,,,,,,,,,
arrival,landed,cdg,lfpg,a43,14.0,2021-12-09t22:30:00.000,2021-12-09t22:30:00.000,2021-12-09t22:44:00.000,2021-12-09t22:44:00.000,2021-12-09t22:44:00.000,tlv,llbg,3,,2021-12-10t03:55:00.000,2021-12-10t03:31:00.000,2021-12-10t03:31:00.000,2021-12-10t03:31:00.000,2021-12-10t03:31:00.000,aeromexico,am,amx,7854,am7854,amx7854,2a,el al,ly,ely,326,ly326,ely326,,
