type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.delay,arrival.scheduledTime,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.terminal,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.baggage,arrival.gate
arrival,landed,bud,lhbp,,29.0,2021-12-12t14:00:00.000,2021-12-12t14:16:00.000,2021-12-12t14:28:00.000,2021-12-12t14:28:00.000,2021-12-12t14:28:00.000,tlv,llbg,3,10.0,2021-12-12t18:15:00.000,2021-12-12t18:22:00.000,2021-12-12t18:24:00.000,2021-12-12t18:24:00.000,2021-12-12t18:24:00.000,israir airlines,6h,isr,726,6h726,isr726,2b,,,,,,,,
arrival,landed,fco,lirf,81,14.0,2021-12-12t14:10:00.000,2021-12-12t14:10:00.000,2021-12-12t14:24:00.000,2021-12-12t14:24:00.000,2021-12-12t14:24:00.000,tlv,llbg,1,,2021-12-12t18:35:00.000,2021-12-12t18:15:00.000,2021-12-12t18:16:00.000,2021-12-12t18:16:00.000,2021-12-12t18:16:00.000,ryanair,fr,ryr,7090,fr7090,ryr7090,1,,,,,,,,
arrival,landed,bcn,lebl,d13,18.0,2021-12-12t13:30:00.000,2021-12-12t13:30:00.000,2021-12-12t13:47:00.000,2021-12-12t13:47:00.000,2021-12-12t13:47:00.000,tlv,llbg,3,,2021-12-12t18:40:00.000,2021-12-12t18:37:00.000,2021-12-12t18:39:00.000,2021-12-12t18:39:00.000,2021-12-12t18:39:00.000,iberia,ib,ibe,5595,ib5595,ibe5595,1,vueling,vy,vlg,7844,vy7844,vlg7844,,
arrival,landed,bcn,lebl,d13,18.0,2021-12-12t13:30:00.000,2021-12-12t13:30:00.000,2021-12-12t13:47:00.000,2021-12-12t13:47:00.000,2021-12-12t13:47:00.000,tlv,llbg,3,,2021-12-12t18:40:00.000,2021-12-12t18:37:00.000,2021-12-12t18:39:00.000,2021-12-12t18:39:00.000,2021-12-12t18:39:00.000,vueling,vy,vlg,7844,vy7844,vlg7844,1,,,,,,,,
arrival,landed,dxb,omdb,,75.0,2021-12-12t17:00:00.000,2021-12-12t18:19:00.000,2021-12-12t18:15:00.000,2021-12-12t18:15:00.000,2021-12-12t18:15:00.000,tlv,llbg,3,53.0,2021-12-12t18:45:00.000,2021-12-12t19:32:00.000,2021-12-12t19:37:00.000,2021-12-12t19:37:00.000,2021-12-12t19:37:00.000,el al,ly,ely,5060,ly5060,ely5060,1,,,,,,,,
arrival,landed,ltn,eggw,,13.0,2021-12-12t11:55:00.000,2021-12-12t11:55:00.000,2021-12-12t12:08:00.000,2021-12-12t12:08:00.000,2021-12-12t12:08:00.000,tlv,llbg,3,,2021-12-12t18:55:00.000,2021-12-12t18:55:00.000,2021-12-12t18:49:00.000,2021-12-12t18:49:00.000,2021-12-12t18:49:00.000,easyjet,u2,ezy,2083,u22083,ezy2083,,,,,,,,,
arrival,landed,ath,lgav,a7,19.0,2021-12-12t16:55:00.000,2021-12-12t16:55:00.000,2021-12-12t17:14:00.000,2021-12-12t17:14:00.000,2021-12-12t17:14:00.000,tlv,llbg,3,,2021-12-12t18:55:00.000,2021-12-12t18:51:00.000,2021-12-12t18:52:00.000,2021-12-12t18:52:00.000,2021-12-12t18:52:00.000,israir airlines,6h,isr,562,6h562,isr562,m,,,,,,,,
arrival,landed,ath,lgav,a1,13.0,2021-12-12t17:05:00.000,2021-12-12t17:05:00.000,2021-12-12t17:18:00.000,2021-12-12t17:18:00.000,2021-12-12t17:18:00.000,tlv,llbg,1,,2021-12-12t19:05:00.000,2021-12-12t18:58:00.000,2021-12-12t18:58:00.000,2021-12-12t18:58:00.000,2021-12-12t18:58:00.000,ryanair,fr,ryr,2823,fr2823,ryr2823,m,,,,,,,,
arrival,landed,ath,lgav,a1,18.0,2021-12-12t17:20:00.000,2021-12-12t17:20:00.000,2021-12-12t17:37:00.000,2021-12-12t17:37:00.000,2021-12-12t17:37:00.000,tlv,llbg,3,,2021-12-12t19:20:00.000,2021-12-12t19:11:00.000,2021-12-12t19:13:00.000,2021-12-12t19:13:00.000,2021-12-12t19:13:00.000,aegean airlines,a3,aee,924,a3924,aee924,m,,,,,,,,
arrival,landed,ist,ltfm,a5,29.0,2021-12-12t18:25:00.000,2021-12-12t18:25:00.000,2021-12-12t18:54:00.000,2021-12-12t18:54:00.000,2021-12-12t18:54:00.000,tlv,llbg,3,8.0,2021-12-12t19:25:00.000,2021-12-12t19:32:00.000,2021-12-12t19:32:00.000,2021-12-12t19:32:00.000,2021-12-12t19:32:00.000,air serbia,ju,asl,8254,ju8254,asl8254,,turkish airlines,tk,thy,788,tk788,thy788,,
arrival,landed,ist,ltfm,a5,29.0,2021-12-12t18:25:00.000,2021-12-12t18:25:00.000,2021-12-12t18:54:00.000,2021-12-12t18:54:00.000,2021-12-12t18:54:00.000,tlv,llbg,3,8.0,2021-12-12t19:25:00.000,2021-12-12t19:32:00.000,2021-12-12t19:32:00.000,2021-12-12t19:32:00.000,2021-12-12t19:32:00.000,turkish airlines,tk,thy,788,tk788,thy788,,,,,,,,,
arrival,landed,wmi,epmo,,22.0,2021-12-12t15:00:00.000,2021-12-12t15:00:00.000,2021-12-12t15:21:00.000,2021-12-12t15:21:00.000,2021-12-12t15:21:00.000,tlv,llbg,1,3.0,2021-12-12t19:45:00.000,2021-12-12t19:50:00.000,2021-12-12t19:48:00.000,2021-12-12t19:48:00.000,2021-12-12t19:48:00.000,ryanair,fr,ryr,6721,fr6721,ryr6721,,,,,,,,,
arrival,scheduled,bud,lhbp,,,2021-12-12t15:35:00.000,,,,,tlv,llbg,,,2021-12-12t19:45:00.000,,,,,blue bird airways,bz,bbg,441,bz441,bbg441,,,,,,,,,
arrival,landed,dxb,omdb,,79.0,2021-12-12t18:00:00.000,2021-12-12t18:00:00.000,2021-12-12t19:18:00.000,2021-12-12t19:18:00.000,2021-12-12t19:18:00.000,tlv,llbg,3,42.0,2021-12-12t19:50:00.000,2021-12-12t20:29:00.000,2021-12-12t20:32:00.000,2021-12-12t20:32:00.000,2021-12-12t20:32:00.000,israir airlines,6h,isr,664,6h664,isr664,1,,,,,,,,
arrival,landed,bri,libd,b1,46.0,2021-12-12t15:55:00.000,2021-12-12t16:08:00.000,2021-12-12t16:41:00.000,2021-12-12t16:41:00.000,2021-12-12t16:41:00.000,tlv,llbg,1,11.0,2021-12-12t19:55:00.000,2021-12-12t20:04:00.000,2021-12-12t20:05:00.000,2021-12-12t20:05:00.000,2021-12-12t20:05:00.000,ryanair,fr,ryr,8909,fr8909,ryr8909,,,,,,,,,
arrival,landed,lgw,egkk,101,11.0,2021-12-12t12:50:00.000,2021-12-12t12:50:00.000,2021-12-12t13:01:00.000,2021-12-12t13:01:00.000,2021-12-12t13:01:00.000,tlv,llbg,3,,2021-12-12t19:55:00.000,2021-12-12t19:28:00.000,2021-12-12t19:31:00.000,2021-12-12t19:31:00.000,2021-12-12t19:31:00.000,easyjet,u2,ezy,8817,u28817,ezy8817,n,,,,,,,,
arrival,landed,cdg,lfpg,a43,34.0,2021-12-12t14:45:00.000,2021-12-12t15:16:00.000,2021-12-12t15:19:00.000,2021-12-12t15:19:00.000,2021-12-12t15:19:00.000,tlv,llbg,3,12.0,2021-12-12t20:00:00.000,2021-12-12t20:11:00.000,2021-12-12t20:12:00.000,2021-12-12t20:12:00.000,2021-12-12t20:12:00.000,american airlines,aa,aal,8376,aa8376,aal8376,2a,el al,ly,ely,324,ly324,ely324,,
arrival,landed,cdg,lfpg,a43,34.0,2021-12-12t14:45:00.000,2021-12-12t15:16:00.000,2021-12-12t15:19:00.000,2021-12-12t15:19:00.000,2021-12-12t15:19:00.000,tlv,llbg,3,12.0,2021-12-12t20:00:00.000,2021-12-12t20:11:00.000,2021-12-12t20:12:00.000,2021-12-12t20:12:00.000,2021-12-12t20:12:00.000,el al,ly,ely,324,ly324,ely324,2a,,,,,,,,
arrival,unknown,krr,urkk,,,2021-12-12t18:35:00.000,,,,,tlv,llbg,3,,2021-12-12t20:25:00.000,,,,,nordwind airlines,n4,nws,2135,n42135,nws2135,,,,,,,,,
arrival,scheduled,poz,eppo,,86.0,2021-12-12t15:55:00.000,2021-12-12t15:55:00.000,2021-12-12t17:20:00.000,2021-12-12t17:20:00.000,2021-12-12t17:20:00.000,tlv,llbg,1,81.0,2021-12-12t20:40:00.000,2021-12-12t22:01:00.000,,,,ryanair,fr,ryr,1930,fr1930,ryr1930,,,,,,,,,
arrival,landed,dxb,omdb,,40.0,2021-12-12t19:00:00.000,2021-12-12t19:41:00.000,2021-12-12t19:40:00.000,2021-12-12t19:40:00.000,2021-12-12t19:40:00.000,tlv,llbg,3,15.0,2021-12-12t20:40:00.000,2021-12-12t20:51:00.000,2021-12-12t20:54:00.000,2021-12-12t20:54:00.000,2021-12-12t20:54:00.000,el al,ly,ely,974,ly974,ely974,1,,,,,,,,
arrival,landed,lhr,egll,b38,27.0,2021-12-12t14:20:00.000,2021-12-12t15:01:00.000,2021-12-12t14:46:00.000,2021-12-12t14:46:00.000,2021-12-12t14:46:00.000,tlv,llbg,3,,2021-12-12t21:05:00.000,2021-12-12t21:07:00.000,2021-12-12t21:02:00.000,2021-12-12t21:02:00.000,2021-12-12t21:02:00.000,american airlines,aa,aal,8372,aa8372,aal8372,2,el al,ly,ely,316,ly316,ely316,,
arrival,landed,lhr,egll,b38,27.0,2021-12-12t14:20:00.000,2021-12-12t15:01:00.000,2021-12-12t14:46:00.000,2021-12-12t14:46:00.000,2021-12-12t14:46:00.000,tlv,llbg,3,,2021-12-12t21:05:00.000,2021-12-12t21:07:00.000,2021-12-12t21:02:00.000,2021-12-12t21:02:00.000,2021-12-12t21:02:00.000,el al,ly,ely,316,ly316,ely316,2,,,,,,,,
arrival,landed,hkg,vhhh,,42.0,2021-12-12t15:00:00.000,,2021-12-12t15:42:00.000,2021-12-12t15:42:00.000,2021-12-12t15:42:00.000,tlv,llbg,,,2021-12-12t21:05:00.000,2021-12-12t20:35:00.000,2021-12-12t20:34:00.000,2021-12-12t20:34:00.000,2021-12-12t20:34:00.000,c.a.l. cargo airlines,5c,icl,1852,5c1852,icl1852,,,,,,,,,
arrival,unknown,hkg,vhhh,,,2021-12-12t15:30:00.000,,,,,tlv,llbg,,,2021-12-12t21:10:00.000,,,,,c.a.l. cargo airlines,5c,icl,852,5c852,icl852,,,,,,,,,
arrival,landed,skg,lgts,1,6.0,2021-12-12t19:05:00.000,2021-12-12t19:05:00.000,2021-12-12t19:11:00.000,2021-12-12t19:11:00.000,2021-12-12t19:11:00.000,tlv,llbg,1,,2021-12-12t21:20:00.000,2021-12-12t21:08:00.000,2021-12-12t21:10:00.000,2021-12-12t21:10:00.000,2021-12-12t21:10:00.000,ryanair,fr,ryr,5525,fr5525,ryr5525,,,,,,,,,
arrival,landed,saw,ltfj,205b,17.0,2021-12-12t20:20:00.000,2021-12-12t20:20:00.000,2021-12-12t20:36:00.000,2021-12-12t20:36:00.000,2021-12-12t20:36:00.000,tlv,llbg,3,,2021-12-12t21:25:00.000,2021-12-12t21:13:00.000,2021-12-12t21:16:00.000,2021-12-12t21:16:00.000,2021-12-12t21:16:00.000,pegasus,pc,pgt,785,pc785,pgt785,,,,,,,,,
arrival,landed,lca,lclk,,30.0,2021-12-12t20:30:00.000,,2021-12-12t21:00:00.000,2021-12-12t21:00:00.000,2021-12-12t21:00:00.000,tlv,llbg,,10.0,2021-12-12t21:30:00.000,2021-12-12t21:36:00.000,2021-12-12t21:40:00.000,2021-12-12t21:40:00.000,2021-12-12t21:40:00.000,tus airways,u8,cyf,102,u8102,cyf102,,,,,,,,,
arrival,landed,lis,lppt,,6.0,2021-12-12t14:15:00.000,2021-12-12t14:10:00.000,2021-12-12t14:20:00.000,2021-12-12t14:20:00.000,2021-12-12t14:20:00.000,tlv,llbg,3,,2021-12-12t21:40:00.000,2021-12-12t21:24:00.000,2021-12-12t21:26:00.000,2021-12-12t21:26:00.000,2021-12-12t21:26:00.000,el al,ly,ely,9110,ly9110,ely9110,1,tap air portugal,tp,tap,1603,tp1603,tap1603,,
arrival,landed,lis,lppt,,6.0,2021-12-12t14:15:00.000,2021-12-12t14:10:00.000,2021-12-12t14:20:00.000,2021-12-12t14:20:00.000,2021-12-12t14:20:00.000,tlv,llbg,3,,2021-12-12t21:40:00.000,2021-12-12t21:24:00.000,2021-12-12t21:26:00.000,2021-12-12t21:26:00.000,2021-12-12t21:26:00.000,tap air portugal,tp,tap,1603,tp1603,tap1603,1,,,,,,,,
arrival,landed,fra,eddf,,6.0,2021-12-12t16:55:00.000,2021-12-12t16:55:00.000,2021-12-12t17:00:00.000,2021-12-12t17:00:00.000,2021-12-12t17:00:00.000,tlv,llbg,,,2021-12-12t21:45:00.000,2021-12-12t21:33:00.000,2021-12-12t21:32:00.000,2021-12-12t21:32:00.000,2021-12-12t21:32:00.000,lufthansa,lh,dlh,8290,lh8290,dlh8290,,,,,,,,,
arrival,landed,lca,lclk,,4.0,2021-12-12t20:45:00.000,2021-12-12t20:52:00.000,2021-12-12t20:49:00.000,2021-12-12t20:49:00.000,2021-12-12t20:49:00.000,tlv,llbg,3,,2021-12-12t21:45:00.000,2021-12-12t21:29:00.000,2021-12-12t21:27:00.000,2021-12-12t21:27:00.000,2021-12-12t21:27:00.000,el al,ly,ely,2432,ly2432,ely2432,,,,,,,,,
arrival,unknown,evn,udyz,,,2021-12-12t20:15:00.000,,,,,tlv,llbg,,,2021-12-12t21:45:00.000,,,,,aircompany armenia,rm,ngt,795,rm795,ngt795,,,,,,,,,
arrival,landed,saw,ltfj,,61.0,2021-12-12t21:05:00.000,2021-12-12t21:15:00.000,2021-12-12t22:05:00.000,2021-12-12t22:05:00.000,2021-12-12t22:05:00.000,tlv,llbg,3,38.0,2021-12-12t22:10:00.000,2021-12-12t22:47:00.000,2021-12-12t22:48:00.000,2021-12-12t22:48:00.000,2021-12-12t22:48:00.000,turkish airlines,tk,thy,7710,tk7710,thy7710,,,,,,,,,
arrival,landed,dxb,omdb,,49.0,2021-12-12t20:50:00.000,2021-12-12t21:40:00.000,2021-12-12t21:39:00.000,2021-12-12t21:39:00.000,2021-12-12t21:39:00.000,tlv,llbg,3,20.0,2021-12-12t22:35:00.000,2021-12-12t22:52:00.000,2021-12-12t22:55:00.000,2021-12-12t22:55:00.000,2021-12-12t22:55:00.000,el al,ly,ely,5058,ly5058,ely5058,1,,,,,,,,
arrival,landed,ist,ltfm,a2b,32.0,2021-12-12t21:30:00.000,2021-12-12t21:30:00.000,2021-12-12t22:02:00.000,2021-12-12t22:02:00.000,2021-12-12t22:02:00.000,tlv,llbg,3,10.0,2021-12-12t22:35:00.000,2021-12-12t22:43:00.000,2021-12-12t22:45:00.000,2021-12-12t22:45:00.000,2021-12-12t22:45:00.000,air serbia,ju,asl,8255,ju8255,asl8255,,turkish airlines,tk,thy,790,tk790,thy790,,
arrival,landed,ist,ltfm,a2b,32.0,2021-12-12t21:30:00.000,2021-12-12t21:30:00.000,2021-12-12t22:02:00.000,2021-12-12t22:02:00.000,2021-12-12t22:02:00.000,tlv,llbg,3,10.0,2021-12-12t22:35:00.000,2021-12-12t22:43:00.000,2021-12-12t22:45:00.000,2021-12-12t22:45:00.000,2021-12-12t22:45:00.000,air serbia,ju,asl,8258,ju8258,asl8258,,turkish airlines,tk,thy,790,tk790,thy790,,
arrival,landed,ist,ltfm,a2b,32.0,2021-12-12t21:30:00.000,2021-12-12t21:30:00.000,2021-12-12t22:02:00.000,2021-12-12t22:02:00.000,2021-12-12t22:02:00.000,tlv,llbg,3,10.0,2021-12-12t22:35:00.000,2021-12-12t22:43:00.000,2021-12-12t22:45:00.000,2021-12-12t22:45:00.000,2021-12-12t22:45:00.000,turkish airlines,tk,thy,790,tk790,thy790,,,,,,,,,
arrival,landed,dxb,omdb,,57.0,2021-12-12t20:55:00.000,2021-12-12t20:55:00.000,2021-12-12t21:52:00.000,2021-12-12t21:52:00.000,2021-12-12t21:52:00.000,tlv,llbg,,22.0,2021-12-12t22:45:00.000,2021-12-12t23:06:00.000,2021-12-12t23:06:00.000,2021-12-12t23:06:00.000,2021-12-12t23:06:00.000,emirates,ek,uae,2367,ek2367,uae2367,3,flydubai,fz,fdb,1627,fz1627,fdb1627,,
arrival,landed,dxb,omdb,,57.0,2021-12-12t20:55:00.000,2021-12-12t20:55:00.000,2021-12-12t21:52:00.000,2021-12-12t21:52:00.000,2021-12-12t21:52:00.000,tlv,llbg,,22.0,2021-12-12t22:45:00.000,2021-12-12t23:06:00.000,2021-12-12t23:06:00.000,2021-12-12t23:06:00.000,2021-12-12t23:06:00.000,flydubai,fz,fdb,1627,fz1627,fdb1627,3,,,,,,,,
arrival,landed,mad,lemd,s49,13.0,2021-12-12t17:00:00.000,2021-12-12t17:00:00.000,2021-12-12t17:12:00.000,2021-12-12t17:12:00.000,2021-12-12t17:12:00.000,tlv,llbg,3,,2021-12-12t22:45:00.000,2021-12-12t22:26:00.000,2021-12-12t22:29:00.000,2021-12-12t22:29:00.000,2021-12-12t22:29:00.000,el al,ly,ely,8396,ly8396,ely8396,4s,iberia,ib,ibe,3316,ib3316,ibe3316,,
arrival,landed,mad,lemd,s49,13.0,2021-12-12t17:00:00.000,2021-12-12t17:00:00.000,2021-12-12t17:12:00.000,2021-12-12t17:12:00.000,2021-12-12t17:12:00.000,tlv,llbg,3,,2021-12-12t22:45:00.000,2021-12-12t22:26:00.000,2021-12-12t22:29:00.000,2021-12-12t22:29:00.000,2021-12-12t22:29:00.000,iberia,ib,ibe,3316,ib3316,ibe3316,4s,,,,,,,,
arrival,landed,kiv,lukk,,2.0,2021-12-12t20:05:00.000,2021-12-12t20:05:00.000,2021-12-12t20:07:00.000,2021-12-12t20:07:00.000,2021-12-12t20:07:00.000,tlv,llbg,3,,2021-12-12t22:50:00.000,2021-12-12t22:38:00.000,2021-12-12t22:40:00.000,2021-12-12t22:40:00.000,2021-12-12t22:40:00.000,air moldova,9u,mld,547,9u547,mld547,,,,,,,,,
arrival,landed,var,lbwn,,,2021-12-12t20:35:00.000,2021-12-12t20:35:00.000,2021-12-12t20:29:00.000,2021-12-12t20:29:00.000,2021-12-12t20:29:00.000,tlv,llbg,3,,2021-12-12t22:50:00.000,2021-12-12t22:34:00.000,2021-12-12t22:35:00.000,2021-12-12t22:35:00.000,2021-12-12t22:35:00.000,israir airlines,6h,isr,712,6h712,isr712,,,,,,,,,
arrival,landed,fra,eddf,263,18.0,2021-12-12t17:55:00.000,2021-12-12t17:55:00.000,2021-12-12t18:13:00.000,2021-12-12t18:13:00.000,2021-12-12t18:13:00.000,tlv,llbg,3,,2021-12-12t23:00:00.000,2021-12-12t22:51:00.000,2021-12-12t22:52:00.000,2021-12-12t22:52:00.000,2021-12-12t22:52:00.000,ana,nh,ana,5461,nh5461,ana5461,1,lufthansa,lh,dlh,690,lh690,dlh690,,
arrival,landed,fra,eddf,263,18.0,2021-12-12t17:55:00.000,2021-12-12t17:55:00.000,2021-12-12t18:13:00.000,2021-12-12t18:13:00.000,2021-12-12t18:13:00.000,tlv,llbg,3,,2021-12-12t23:00:00.000,2021-12-12t22:51:00.000,2021-12-12t22:52:00.000,2021-12-12t22:52:00.000,2021-12-12t22:52:00.000,brussels airlines,sn,bel,7169,sn7169,bel7169,1,lufthansa,lh,dlh,690,lh690,dlh690,,
arrival,landed,fra,eddf,263,18.0,2021-12-12t17:55:00.000,2021-12-12t17:55:00.000,2021-12-12t18:13:00.000,2021-12-12t18:13:00.000,2021-12-12t18:13:00.000,tlv,llbg,3,,2021-12-12t23:00:00.000,2021-12-12t22:51:00.000,2021-12-12t22:52:00.000,2021-12-12t22:52:00.000,2021-12-12t22:52:00.000,united airlines,ua,ual,9122,ua9122,ual9122,1,lufthansa,lh,dlh,690,lh690,dlh690,,
arrival,landed,fra,eddf,263,18.0,2021-12-12t17:55:00.000,2021-12-12t17:55:00.000,2021-12-12t18:13:00.000,2021-12-12t18:13:00.000,2021-12-12t18:13:00.000,tlv,llbg,3,,2021-12-12t23:00:00.000,2021-12-12t22:51:00.000,2021-12-12t22:52:00.000,2021-12-12t22:52:00.000,2021-12-12t22:52:00.000,lufthansa,lh,dlh,690,lh690,dlh690,1,,,,,,,,
arrival,landed,kbp,ukbb,d11,29.0,2021-12-12t20:00:00.000,2021-12-12t20:00:00.000,2021-12-12t20:29:00.000,2021-12-12t20:29:00.000,2021-12-12t20:29:00.000,tlv,llbg,3,21.0,2021-12-12t23:10:00.000,2021-12-12t23:30:00.000,2021-12-12t23:30:00.000,2021-12-12t23:30:00.000,2021-12-12t23:30:00.000,uia,ps,aui,777,ps777,aui777,d,,,,,,,,
arrival,landed,sof,lbsf,17,1.0,2021-12-12t20:45:00.000,2021-12-12t20:45:00.000,2021-12-12t20:45:00.000,2021-12-12t20:45:00.000,2021-12-12t20:45:00.000,tlv,llbg,3,,2021-12-12t23:10:00.000,2021-12-12t23:00:00.000,2021-12-12t23:01:00.000,2021-12-12t23:01:00.000,2021-12-12t23:01:00.000,israir airlines,6h,isr,722,6h722,isr722,2,,,,,,,,
arrival,landed,tbs,ugtb,102,11.0,2021-12-12t22:40:00.000,2021-12-12t22:40:00.000,2021-12-12t22:51:00.000,2021-12-12t22:51:00.000,2021-12-12t22:51:00.000,tlv,llbg,3,,2021-12-12t23:15:00.000,2021-12-12t23:09:00.000,2021-12-12t23:10:00.000,2021-12-12t23:10:00.000,2021-12-12t23:10:00.000,el al,ly,ely,692,ly692,ely692,,,,,,,,,
arrival,scheduled,kbp,ukbb,d2,78.0,2021-12-12t20:05:00.000,2021-12-12t20:05:00.000,2021-12-12t21:22:00.000,2021-12-12t21:22:00.000,2021-12-12t21:22:00.000,tlv,llbg,3,76.0,2021-12-12t23:25:00.000,2021-12-13t00:41:00.000,,,,israir airlines,6h,isr,852,6h852,isr852,d,,,,,,,,
arrival,landed,fco,lirf,421,18.0,2021-12-12t19:25:00.000,2021-12-12t19:25:00.000,2021-12-12t19:43:00.000,2021-12-12t19:43:00.000,2021-12-12t19:43:00.000,tlv,llbg,3,,2021-12-12t23:40:00.000,2021-12-12t23:37:00.000,2021-12-12t23:38:00.000,2021-12-12t23:38:00.000,2021-12-12t23:38:00.000,israir airlines,6h,isr,342,6h342,isr342,3,,,,,,,,
arrival,landed,dxb,omdb,,56.0,2021-12-12t21:55:00.000,2021-12-12t21:55:00.000,2021-12-12t22:50:00.000,2021-12-12t22:50:00.000,2021-12-12t22:50:00.000,tlv,llbg,,20.0,2021-12-12t23:45:00.000,2021-12-13t00:02:00.000,2021-12-13t00:04:00.000,2021-12-13t00:04:00.000,2021-12-13t00:04:00.000,emirates,ek,uae,2345,ek2345,uae2345,3,flydubai,fz,fdb,1807,fz1807,fdb1807,,
arrival,landed,dxb,omdb,,56.0,2021-12-12t21:55:00.000,2021-12-12t21:55:00.000,2021-12-12t22:50:00.000,2021-12-12t22:50:00.000,2021-12-12t22:50:00.000,tlv,llbg,,20.0,2021-12-12t23:45:00.000,2021-12-13t00:02:00.000,2021-12-13t00:04:00.000,2021-12-13t00:04:00.000,2021-12-13t00:04:00.000,flydubai,fz,fdb,1807,fz1807,fdb1807,3,,,,,,,,
arrival,landed,saw,ltfj,301b,33.0,2021-12-12t23:05:00.000,2021-12-12t23:05:00.000,2021-12-12t23:38:00.000,2021-12-12t23:38:00.000,2021-12-12t23:38:00.000,tlv,llbg,3,9.0,2021-12-13t00:10:00.000,2021-12-13t00:18:00.000,2021-12-13t00:19:00.000,2021-12-13t00:19:00.000,2021-12-13t00:19:00.000,pegasus,pc,pgt,779,pc779,pgt779,,,,,,,,,
arrival,unknown,otp,lrop,,,2021-12-12t21:40:00.000,,,,,tlv,llbg,3,,2021-12-13t00:15:00.000,,,,,blue air,0b,bla,169,0b169,bla169,,,,,,,,,
arrival,landed,ath,lgav,a1,4.0,2021-12-12t22:30:00.000,2021-12-12t22:36:00.000,2021-12-12t22:33:00.000,2021-12-12t22:33:00.000,2021-12-12t22:33:00.000,tlv,llbg,3,,2021-12-13t00:20:00.000,2021-12-13t00:14:00.000,2021-12-13t00:14:00.000,2021-12-13t00:14:00.000,2021-12-13t00:14:00.000,el al,ly,ely,544,ly544,ely544,m,,,,,,,,
arrival,landed,otp,lrop,,5.0,2021-12-12t21:45:00.000,2021-12-12t21:44:00.000,2021-12-12t21:49:00.000,2021-12-12t21:49:00.000,2021-12-12t21:49:00.000,tlv,llbg,3,,2021-12-13t00:20:00.000,2021-12-13t00:15:00.000,2021-12-13t00:10:00.000,2021-12-13t00:10:00.000,2021-12-13t00:10:00.000,el al,ly,ely,572,ly572,ely572,,,,,,,,,
arrival,scheduled,dxb,omdb,,174.0,2021-12-12t22:30:00.000,,2021-12-13t01:23:00.000,2021-12-13t01:23:00.000,2021-12-13t01:23:00.000,tlv,llbg,3,138.0,2021-12-13t00:25:00.000,2021-12-13t02:42:00.000,,,,arkia israeli airlines,iz,aiz,606,iz606,aiz606,1,,,,,,,,
arrival,landed,ods,ukoo,,9.0,2021-12-12t21:35:00.000,2021-12-12t21:35:00.000,2021-12-12t21:44:00.000,2021-12-12t21:44:00.000,2021-12-12t21:44:00.000,tlv,llbg,3,,2021-12-13t00:30:00.000,2021-12-13t00:09:00.000,2021-12-13t00:07:00.000,2021-12-13t00:07:00.000,2021-12-13t00:07:00.000,uia,ps,aui,787,ps787,aui787,,,,,,,,,
arrival,scheduled,fra,eddf,,,2021-12-12t19:30:00.000,,,,,tlv,llbg,3,,2021-12-13t00:35:00.000,,,,,american airlines,aa,aal,8382,aa8382,aal8382,1,el al,ly,ely,356,ly356,ely356,,
arrival,scheduled,fra,eddf,,,2021-12-12t19:30:00.000,,,,,tlv,llbg,3,,2021-12-13t00:35:00.000,,,,,el al,ly,ely,356,ly356,ely356,1,,,,,,,,
arrival,landed,ath,lgav,a1,,2021-12-12t22:55:00.000,2021-12-12t22:55:00.000,2021-12-12t22:54:00.000,2021-12-12t22:54:00.000,2021-12-12t22:54:00.000,tlv,llbg,3,,2021-12-13t00:55:00.000,2021-12-13t00:30:00.000,2021-12-13t00:29:00.000,2021-12-13t00:29:00.000,2021-12-13t00:29:00.000,bulgaria air,fb,lzb,1528,fb1528,lzb1528,m,aegean airlines,a3,aee,928,a3928,aee928,,
arrival,landed,ath,lgav,a1,,2021-12-12t22:55:00.000,2021-12-12t22:55:00.000,2021-12-12t22:54:00.000,2021-12-12t22:54:00.000,2021-12-12t22:54:00.000,tlv,llbg,3,,2021-12-13t00:55:00.000,2021-12-13t00:30:00.000,2021-12-13t00:29:00.000,2021-12-13t00:29:00.000,2021-12-13t00:29:00.000,aegean airlines,a3,aee,928,a3928,aee928,m,,,,,,,,
arrival,landed,auh,omaa,,5.0,2021-12-12t05:00:00.000,2021-12-12t05:10:00.000,2021-12-12t05:05:00.000,2021-12-12t05:05:00.000,2021-12-12t05:05:00.000,tlv,llbg,,7.0,2021-12-12t06:25:00.000,2021-12-12t06:28:00.000,2021-12-12t06:31:00.000,2021-12-12t06:31:00.000,2021-12-12t06:31:00.000,vistajet,,vjt,569,,vjt569,,,,,,,,,
