type,status,departure.icaoCode,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,airline.name,codeshared.airline.icaoCode,arrival.delay,arrival.baggage,Bad_Weather_today,R,new_sick_per_day,avg_for_7_days,longitude,latitude,cancel
arrival,landed,eddm,40.0,2021-12-04t22:10:00.000,2021-12-04t22:30:00.000,2021-12-04t22:49:00.000,2021-12-04t22:49:00.000,2021-12-04t22:49:00.000,tlv,llbg,2021-12-05t02:50:00.000,2021-12-05t03:10:00.000,2021-12-05t03:09:00.000,2021-12-05t03:09:00.000,2021-12-05t03:09:00.000,brussels airlines,dlh,20.0,,0,1.02,248,507,11.7861,48.3538,0
arrival,landed,eddm,40.0,2021-12-04t22:10:00.000,2021-12-04t22:30:00.000,2021-12-04t22:49:00.000,2021-12-04t22:49:00.000,2021-12-04t22:49:00.000,tlv,llbg,2021-12-05t02:50:00.000,2021-12-05t03:10:00.000,2021-12-05t03:09:00.000,2021-12-05t03:09:00.000,2021-12-05t03:09:00.000,united airlines,dlh,20.0,,0,1.02,248,507,11.7861,48.3538,0
arrival,landed,eddm,40.0,2021-12-04t22:10:00.000,2021-12-04t22:30:00.000,2021-12-04t22:49:00.000,2021-12-04t22:49:00.000,2021-12-04t22:49:00.000,tlv,llbg,2021-12-05t02:50:00.000,2021-12-05t03:10:00.000,2021-12-05t03:09:00.000,2021-12-05t03:09:00.000,2021-12-05t03:09:00.000,lufthansa,,20.0,,0,1.02,248,507,11.7861,48.3538,0
arrival,landed,haab,16.0,2021-12-04t23:55:00.000,2021-12-04t23:55:00.000,2021-12-05t00:11:00.000,2021-12-05t00:11:00.000,2021-12-05t00:11:00.000,tlv,llbg,2021-12-05t03:00:00.000,2021-12-05t03:00:00.000,2021-12-05t03:03:00.000,2021-12-05t03:03:00.000,2021-12-05t03:03:00.000,el al,eth,3.0,,0,1.02,248,507,38.7994,8.975,0
arrival,landed,haab,16.0,2021-12-04t23:55:00.000,2021-12-04t23:55:00.000,2021-12-05t00:11:00.000,2021-12-05t00:11:00.000,2021-12-05t00:11:00.000,tlv,llbg,2021-12-05t03:00:00.000,2021-12-05t03:00:00.000,2021-12-05t03:03:00.000,2021-12-05t03:03:00.000,2021-12-05t03:03:00.000,ethiopian airlines,,3.0,,0,1.02,248,507,38.7994,8.975,0
arrival,landed,lszh,2.0,2021-12-04t22:45:00.000,2021-12-04t22:35:00.000,2021-12-04t22:46:00.000,2021-12-04t22:46:00.000,2021-12-04t22:46:00.000,tlv,llbg,2021-12-05t03:30:00.000,2021-12-05t03:18:00.000,2021-12-05t03:20:00.000,2021-12-05t03:20:00.000,2021-12-05t03:20:00.000,el al,swr,0.0,,0,1.02,248,507,8.5481,47.4581,0
arrival,landed,lszh,2.0,2021-12-04t22:45:00.000,2021-12-04t22:35:00.000,2021-12-04t22:46:00.000,2021-12-04t22:46:00.000,2021-12-04t22:46:00.000,tlv,llbg,2021-12-05t03:30:00.000,2021-12-05t03:18:00.000,2021-12-05t03:20:00.000,2021-12-05t03:20:00.000,2021-12-05t03:20:00.000,swiss,,0.0,,0,1.02,248,507,8.5481,47.4581,0
arrival,landed,epwa,35.0,2021-12-04t22:50:00.000,2021-12-04t22:50:00.000,2021-12-04t23:25:00.000,2021-12-04t23:25:00.000,2021-12-04t23:25:00.000,tlv,llbg,2021-12-05t03:35:00.000,2021-12-05t03:38:00.000,2021-12-05t03:37:00.000,2021-12-05t03:37:00.000,2021-12-05t03:37:00.000,lot - polish airlines,,2.0,,0,1.02,248,507,20.9672,52.1658,0
arrival,landed,egll,26.0,2021-12-04t21:00:00.000,2021-12-04t21:31:00.000,2021-12-04t21:26:00.000,2021-12-04t21:26:00.000,2021-12-04t21:26:00.000,tlv,llbg,2021-12-05t03:45:00.000,2021-12-05t03:38:00.000,2021-12-05t03:34:00.000,2021-12-05t03:34:00.000,2021-12-05t03:34:00.000,american airlines,ely,0.0,,0,1.02,248,507,-0.4614,51.4775,0
arrival,landed,egll,26.0,2021-12-04t21:00:00.000,2021-12-04t21:31:00.000,2021-12-04t21:26:00.000,2021-12-04t21:26:00.000,2021-12-04t21:26:00.000,tlv,llbg,2021-12-05t03:45:00.000,2021-12-05t03:38:00.000,2021-12-05t03:34:00.000,2021-12-05t03:34:00.000,2021-12-05t03:34:00.000,aeromexico,ely,0.0,,0,1.02,248,507,-0.4614,51.4775,0
arrival,landed,egll,26.0,2021-12-04t21:00:00.000,2021-12-04t21:31:00.000,2021-12-04t21:26:00.000,2021-12-04t21:26:00.000,2021-12-04t21:26:00.000,tlv,llbg,2021-12-05t03:45:00.000,2021-12-05t03:38:00.000,2021-12-05t03:34:00.000,2021-12-05t03:34:00.000,2021-12-05t03:34:00.000,el al,,0.0,,0,1.02,248,507,-0.4614,51.4775,0
arrival,landed,lfpg,14.0,2021-12-04t22:30:00.000,2021-12-04t22:44:00.000,2021-12-04t22:43:00.000,2021-12-04t22:43:00.000,2021-12-04t22:43:00.000,tlv,llbg,2021-12-05t03:50:00.000,2021-12-05t03:25:00.000,2021-12-05t03:28:00.000,2021-12-05t03:28:00.000,2021-12-05t03:28:00.000,aeromexico,ely,0.0,,0,1.02,248,507,2.5478,49.0097,0
arrival,landed,lfpg,14.0,2021-12-04t22:30:00.000,2021-12-04t22:44:00.000,2021-12-04t22:43:00.000,2021-12-04t22:43:00.000,2021-12-04t22:43:00.000,tlv,llbg,2021-12-05t03:50:00.000,2021-12-05t03:25:00.000,2021-12-05t03:28:00.000,2021-12-05t03:28:00.000,2021-12-05t03:28:00.000,el al,,0.0,,0,1.02,248,507,2.5478,49.0097,0
arrival,scheduled,egll,0.0,2021-12-04t21:15:00.000,,,,,tlv,llbg,2021-12-05t04:15:00.000,,,,,aeromexico,vir,0.0,,0,1.02,248,507,-0.4614,51.4775,0
arrival,scheduled,egll,0.0,2021-12-04t21:15:00.000,,,,,tlv,llbg,2021-12-05t04:15:00.000,,,,,delta air lines,vir,0.0,,0,1.02,248,507,-0.4614,51.4775,0
arrival,scheduled,egll,0.0,2021-12-04t21:15:00.000,,,,,tlv,llbg,2021-12-05t04:15:00.000,,,,,virgin atlantic,,0.0,,0,1.02,248,507,-0.4614,51.4775,0
arrival,landed,ukbb,22.0,2021-12-05t01:10:00.000,2021-12-05t01:10:00.000,2021-12-05t01:32:00.000,2021-12-05t01:32:00.000,2021-12-05t01:32:00.000,tlv,llbg,2021-12-05t04:20:00.000,2021-12-05t04:27:00.000,2021-12-05t04:23:00.000,2021-12-05t04:23:00.000,2021-12-05t04:23:00.000,uia,,3.0,,0,1.03,539,519,30.8933,50.3447,0
arrival,landed,lkpr,23.0,2021-12-04t23:45:00.000,2021-12-04t23:45:00.000,2021-12-05t00:07:00.000,2021-12-05t00:07:00.000,2021-12-05t00:07:00.000,tlv,llbg,2021-12-05t04:35:00.000,2021-12-05t04:29:00.000,2021-12-05t04:29:00.000,2021-12-05t04:29:00.000,2021-12-05t04:29:00.000,csa,tvs,0.0,143,0,1.02,248,507,14.26,50.1008,0
arrival,landed,lkpr,23.0,2021-12-04t23:45:00.000,2021-12-04t23:45:00.000,2021-12-05t00:07:00.000,2021-12-05t00:07:00.000,2021-12-05t00:07:00.000,tlv,llbg,2021-12-05t04:35:00.000,2021-12-05t04:29:00.000,2021-12-05t04:29:00.000,2021-12-05t04:29:00.000,2021-12-05t04:29:00.000,smartwings,,0.0,143,0,1.02,248,507,14.26,50.1008,0
arrival,landed,zspd,0.0,2021-12-04t23:30:00.000,2021-12-04t22:52:00.000,2021-12-04t22:37:00.000,2021-12-04t22:37:00.000,2021-12-04t22:37:00.000,tlv,llbg,2021-12-05t05:30:00.000,2021-12-05t04:05:00.000,2021-12-05t04:05:00.000,2021-12-05t04:05:00.000,2021-12-05t04:05:00.000,el al,,0.0,,0,1.02,248,507,121.7933,31.145,0
arrival,landed,ukbb,31.0,2021-12-05t03:50:00.000,2021-12-05t03:50:00.000,2021-12-05t04:21:00.000,2021-12-05t04:21:00.000,2021-12-05t04:21:00.000,tlv,llbg,2021-12-05t07:00:00.000,2021-12-05t07:08:00.000,2021-12-05t07:09:00.000,2021-12-05t07:09:00.000,2021-12-05t07:09:00.000,uia,,10.0,,0,1.03,539,519,30.8933,50.3447,0
arrival,cancelled,vhhh,0.0,2021-12-05t01:30:00.000,,,,,tlv,llbg,2021-12-05t07:15:00.000,,,,,cathay pacific,,0.0,,0,1.03,539,519,113.9147,22.3089,1
arrival,landed,ugtb,6.0,2021-12-05t07:05:00.000,2021-12-05t07:05:00.000,2021-12-05t07:10:00.000,2021-12-05t07:10:00.000,2021-12-05t07:10:00.000,tlv,llbg,2021-12-05t07:40:00.000,2021-12-05t07:44:00.000,2021-12-05t07:44:00.000,2021-12-05t07:44:00.000,2021-12-05t07:44:00.000,aircompany armenia,tgz,5.0,,0,1.03,539,519,44.9547,41.6692,0
arrival,landed,ugtb,6.0,2021-12-05t07:05:00.000,2021-12-05t07:05:00.000,2021-12-05t07:10:00.000,2021-12-05t07:10:00.000,2021-12-05t07:10:00.000,tlv,llbg,2021-12-05t07:40:00.000,2021-12-05t07:44:00.000,2021-12-05t07:44:00.000,2021-12-05t07:44:00.000,2021-12-05t07:44:00.000,georgian airways,,5.0,,0,1.03,539,519,44.9547,41.6692,0
arrival,landed,lcph,3.0,2021-12-05t07:00:00.000,2021-12-05t07:00:00.000,2021-12-05t07:03:00.000,2021-12-05t07:03:00.000,2021-12-05t07:03:00.000,tlv,llbg,2021-12-05t08:05:00.000,2021-12-05t07:48:00.000,2021-12-05t07:48:00.000,2021-12-05t07:48:00.000,2021-12-05t07:48:00.000,ryanair,,0.0,,0,1.03,539,519,32.485,34.7183,0
arrival,landed,lrop,8.0,2021-12-05t05:55:00.000,2021-12-05t05:55:00.000,2021-12-05t06:02:00.000,2021-12-05t06:02:00.000,2021-12-05t06:02:00.000,tlv,llbg,2021-12-05t08:35:00.000,2021-12-05t08:12:00.000,2021-12-05t08:13:00.000,2021-12-05t08:13:00.000,2021-12-05t08:13:00.000,wizz air,,0.0,,0,1.03,539,519,26.085,44.5711,0
arrival,landed,ltfm,19.0,2021-12-05t08:00:00.000,2021-12-05t08:00:00.000,2021-12-05t08:18:00.000,2021-12-05t08:18:00.000,2021-12-05t08:18:00.000,tlv,llbg,2021-12-05t08:55:00.000,2021-12-05t08:56:00.000,2021-12-05t09:00:00.000,2021-12-05t09:00:00.000,2021-12-05t09:00:00.000,turkish airlines,,6.0,,0,1.03,539,519,28.7519,41.2753,0
arrival,landed,ltfj,15.0,2021-12-05t07:45:00.000,2021-12-05t07:45:00.000,2021-12-05t07:59:00.000,2021-12-05t07:59:00.000,2021-12-05t07:59:00.000,tlv,llbg,2021-12-05t08:55:00.000,2021-12-05t08:37:00.000,2021-12-05t08:39:00.000,2021-12-05t08:39:00.000,2021-12-05t08:39:00.000,turkish airlines,,0.0,,0,1.03,539,519,29.3092,40.8983,0
arrival,landed,ltfj,16.0,2021-12-05t08:05:00.000,2021-12-05t08:05:00.000,2021-12-05t08:20:00.000,2021-12-05t08:20:00.000,2021-12-05t08:20:00.000,tlv,llbg,2021-12-05t09:10:00.000,2021-12-05t08:53:00.000,2021-12-05t08:57:00.000,2021-12-05t08:57:00.000,2021-12-05t08:57:00.000,pegasus,,0.0,,0,1.03,539,519,29.3092,40.8983,0
arrival,scheduled,kewr,144.0,2021-12-04t16:10:00.000,2021-12-04t18:24:00.000,2021-12-04t18:33:00.000,2021-12-04t18:33:00.000,2021-12-04t18:33:00.000,tlv,llbg,2021-12-05t09:20:00.000,2021-12-05t10:57:00.000,,,,united airlines,,98.0,,0,1.02,248,507,-74.1687,40.6925,0
arrival,landed,omdb,29.0,2021-12-05t07:40:00.000,2021-12-05t07:40:00.000,2021-12-05t08:09:00.000,2021-12-05t08:09:00.000,2021-12-05t08:09:00.000,tlv,llbg,2021-12-05t09:30:00.000,2021-12-05t09:32:00.000,2021-12-05t09:32:00.000,2021-12-05t09:32:00.000,2021-12-05t09:32:00.000,emirates,fdb,3.0,,0,1.03,539,519,55.3644,25.2528,0
arrival,landed,omdb,29.0,2021-12-05t07:40:00.000,2021-12-05t07:40:00.000,2021-12-05t08:09:00.000,2021-12-05t08:09:00.000,2021-12-05t08:09:00.000,tlv,llbg,2021-12-05t09:30:00.000,2021-12-05t09:32:00.000,2021-12-05t09:32:00.000,2021-12-05t09:32:00.000,2021-12-05t09:32:00.000,flydubai,,3.0,,0,1.03,539,519,55.3644,25.2528,0
arrival,landed,lgts,8.0,2021-12-05t07:35:00.000,2021-12-05t07:32:00.000,2021-12-05t07:43:00.000,2021-12-05t07:43:00.000,2021-12-05t07:43:00.000,tlv,llbg,2021-12-05t09:45:00.000,2021-12-05t09:33:00.000,2021-12-05t09:35:00.000,2021-12-05t09:35:00.000,2021-12-05t09:35:00.000,aegean airlines,,0.0,,0,1.03,539,519,22.9709,40.5197,0
arrival,scheduled,ltfm,0.0,2021-12-05t09:00:00.000,,,,,tlv,llbg,2021-12-05t10:00:00.000,,,,,mng airlines,,0.0,,0,1.03,539,519,28.7519,41.2753,0
arrival,landed,epkk,39.0,2021-12-05t05:45:00.000,2021-12-05t05:45:00.000,2021-12-05t06:23:00.000,2021-12-05t06:23:00.000,2021-12-05t06:23:00.000,tlv,llbg,2021-12-05t10:05:00.000,2021-12-05t10:28:00.000,2021-12-05t10:31:00.000,2021-12-05t10:31:00.000,2021-12-05t10:31:00.000,ryanair,,26.0,,0,1.03,539,519,19.7847,50.0778,0
arrival,landed,lhbp,48.0,2021-12-05t05:50:00.000,2021-12-05t05:50:00.000,2021-12-05t06:38:00.000,2021-12-05t06:38:00.000,2021-12-05t06:38:00.000,tlv,llbg,2021-12-05t10:05:00.000,2021-12-05t10:25:00.000,2021-12-05t10:26:00.000,2021-12-05t10:26:00.000,2021-12-05t10:26:00.000,wizz air,,22.0,,0,1.03,539,519,19.2619,47.4394,0
arrival,landed,loww,7.0,2021-12-05t05:45:00.000,2021-12-05t05:45:00.000,2021-12-05t05:52:00.000,2021-12-05t05:52:00.000,2021-12-05t05:52:00.000,tlv,llbg,2021-12-05t10:10:00.000,2021-12-05t09:49:00.000,2021-12-05t09:50:00.000,2021-12-05t09:50:00.000,2021-12-05t09:50:00.000,ryanair,,0.0,,0,1.03,539,519,16.5697,48.1103,0
arrival,landed,cyyz,14.0,2021-12-04t16:50:00.000,2021-12-04t17:13:00.000,2021-12-04t17:04:00.000,2021-12-04t17:04:00.000,2021-12-04t17:04:00.000,tlv,llbg,2021-12-05t10:15:00.000,2021-12-05t09:53:00.000,2021-12-05t09:56:00.000,2021-12-05t09:56:00.000,2021-12-05t09:56:00.000,air canada,,0.0,,0,1.02,248,507,-79.6307,43.6767,0
arrival,landed,heca,15.0,2021-12-05t08:50:00.000,2021-12-05t08:50:00.000,2021-12-05t09:04:00.000,2021-12-05t09:04:00.000,2021-12-05t09:04:00.000,tlv,llbg,2021-12-05t10:15:00.000,2021-12-05t10:07:00.000,2021-12-05t10:10:00.000,2021-12-05t10:10:00.000,2021-12-05t10:10:00.000,egyptair,,0.0,,0,1.03,539,519,31.4139,30.1114,0
arrival,landed,lime,21.0,2021-12-05t05:45:00.000,2021-12-05t05:45:00.000,2021-12-05t06:06:00.000,2021-12-05t06:06:00.000,2021-12-05t06:06:00.000,tlv,llbg,2021-12-05t10:30:00.000,2021-12-05t10:21:00.000,2021-12-05t10:23:00.000,2021-12-05t10:23:00.000,2021-12-05t10:23:00.000,ryanair,,0.0,,0,1.03,539,519,9.7003,45.6689,0
arrival,landed,loww,12.0,2021-12-05t06:00:00.000,2021-12-05t06:00:00.000,2021-12-05t06:11:00.000,2021-12-05t06:11:00.000,2021-12-05t06:11:00.000,tlv,llbg,2021-12-05t10:30:00.000,2021-12-05t10:13:00.000,2021-12-05t10:18:00.000,2021-12-05t10:18:00.000,2021-12-05t10:18:00.000,wizz air,,0.0,,0,1.03,539,519,16.5697,48.1103,0
arrival,landed,ltai,19.0,2021-12-05t10:15:00.000,2021-12-05t10:15:00.000,2021-12-05t10:34:00.000,2021-12-05t10:34:00.000,2021-12-05t10:34:00.000,tlv,llbg,2021-12-05t10:45:00.000,2021-12-05t10:38:00.000,2021-12-05t10:38:00.000,2021-12-05t10:38:00.000,2021-12-05t10:38:00.000,corendon air,,0.0,,0,1.03,539,519,30.7928,36.9003,0
arrival,landed,ubbb,17.0,2021-12-05t09:30:00.000,2021-12-05t09:30:00.000,2021-12-05t09:46:00.000,2021-12-05t09:46:00.000,2021-12-05t09:46:00.000,tlv,llbg,2021-12-05t10:55:00.000,2021-12-05t10:55:00.000,2021-12-05t10:57:00.000,2021-12-05t10:57:00.000,2021-12-05t10:57:00.000,azal azerbaijan airlines,,3.0,,0,1.03,539,519,50.0514,40.4697,0
arrival,landed,limc,49.0,2021-12-05t06:30:00.000,2021-12-05t06:30:00.000,2021-12-05t07:18:00.000,2021-12-05t07:18:00.000,2021-12-05t07:18:00.000,tlv,llbg,2021-12-05t11:20:00.000,2021-12-05t11:44:00.000,2021-12-05t11:43:00.000,2021-12-05t11:43:00.000,2021-12-05t11:43:00.000,wizz air,,23.0,,0,1.03,539,519,8.7231,45.63,0
arrival,landed,lbsf,6.0,2021-12-05t08:50:00.000,2021-12-05t08:50:00.000,2021-12-05t08:56:00.000,2021-12-05t08:56:00.000,2021-12-05t08:56:00.000,tlv,llbg,2021-12-05t11:25:00.000,2021-12-05t10:59:00.000,2021-12-05t11:00:00.000,2021-12-05t11:00:00.000,2021-12-05t11:00:00.000,ryanair,,0.0,,0,1.03,539,519,23.4083,42.695,0
arrival,landed,omaa,8.0,2021-12-05t10:05:00.000,2021-12-05t10:24:00.000,2021-12-05t10:12:00.000,2021-12-05t10:12:00.000,2021-12-05t10:12:00.000,tlv,llbg,2021-12-05t11:30:00.000,2021-12-05t11:14:00.000,2021-12-05t11:20:00.000,2021-12-05t11:20:00.000,2021-12-05t11:20:00.000,el al,etd,0.0,,0,1.03,539,519,54.6511,24.4331,0
arrival,landed,omaa,8.0,2021-12-05t10:05:00.000,2021-12-05t10:24:00.000,2021-12-05t10:12:00.000,2021-12-05t10:12:00.000,2021-12-05t10:12:00.000,tlv,llbg,2021-12-05t11:30:00.000,2021-12-05t11:14:00.000,2021-12-05t11:20:00.000,2021-12-05t11:20:00.000,2021-12-05t11:20:00.000,etihad airways,,0.0,,0,1.03,539,519,54.6511,24.4331,0
arrival,landed,ukbb,56.0,2021-12-05t08:20:00.000,2021-12-05t08:20:00.000,2021-12-05t09:16:00.000,2021-12-05t09:16:00.000,2021-12-05t09:16:00.000,tlv,llbg,2021-12-05t11:30:00.000,2021-12-05t12:03:00.000,2021-12-05t12:01:00.000,2021-12-05t12:01:00.000,2021-12-05t12:01:00.000,skyup airlines,,32.0,,0,1.03,539,519,30.8933,50.3447,0
arrival,landed,omdb,36.0,2021-12-05t09:50:00.000,2021-12-05t09:50:00.000,2021-12-05t10:25:00.000,2021-12-05t10:25:00.000,2021-12-05t10:25:00.000,tlv,llbg,2021-12-05t11:40:00.000,2021-12-05t11:36:00.000,2021-12-05t11:45:00.000,2021-12-05t11:45:00.000,2021-12-05t11:45:00.000,emirates,fdb,6.0,,0,1.03,539,519,55.3644,25.2528,0
arrival,landed,omdb,36.0,2021-12-05t09:50:00.000,2021-12-05t09:50:00.000,2021-12-05t10:25:00.000,2021-12-05t10:25:00.000,2021-12-05t10:25:00.000,tlv,llbg,2021-12-05t11:40:00.000,2021-12-05t11:36:00.000,2021-12-05t11:45:00.000,2021-12-05t11:45:00.000,2021-12-05t11:45:00.000,flydubai,,6.0,,0,1.03,539,519,55.3644,25.2528,0
arrival,scheduled,lcph,0.0,2021-12-05t10:35:00.000,,,,,tlv,llbg,2021-12-05t11:40:00.000,,,,,tus airways,,0.0,,0,1.03,539,519,32.485,34.7183,0
arrival,landed,limc,66.0,2021-12-05t07:00:00.000,2021-12-05t07:30:00.000,2021-12-05t08:05:00.000,2021-12-05t08:05:00.000,2021-12-05t08:05:00.000,tlv,llbg,2021-12-05t11:55:00.000,2021-12-05t12:26:00.000,2021-12-05t12:27:00.000,2021-12-05t12:27:00.000,2021-12-05t12:27:00.000,easyjet,,33.0,,0,1.03,539,519,8.7231,45.63,0
arrival,landed,eham,7.0,2021-12-05t06:30:00.000,2021-12-05t06:30:00.000,2021-12-05t06:36:00.000,2021-12-05t06:36:00.000,2021-12-05t06:36:00.000,tlv,llbg,2021-12-05t12:05:00.000,2021-12-05t11:38:00.000,2021-12-05t11:39:00.000,2021-12-05t11:39:00.000,2021-12-05t11:39:00.000,transavia,,0.0,,0,1.03,539,519,4.7642,52.3081,0
arrival,landed,lsgg,7.0,2021-12-05t07:05:00.000,2021-12-05t07:05:00.000,2021-12-05t07:11:00.000,2021-12-05t07:11:00.000,2021-12-05t07:11:00.000,tlv,llbg,2021-12-05t12:10:00.000,2021-12-05t11:54:00.000,2021-12-05t11:55:00.000,2021-12-05t11:55:00.000,2021-12-05t11:55:00.000,easyjet,,0.0,,1,1.03,539,519,6.1094,46.2383,0
arrival,landed,eddb,39.0,2021-12-05t07:00:00.000,2021-12-05t07:15:00.000,2021-12-05t07:38:00.000,2021-12-05t07:38:00.000,2021-12-05t07:38:00.000,tlv,llbg,2021-12-05t12:15:00.000,,2021-12-05t12:14:00.000,2021-12-05t12:14:00.000,2021-12-05t12:14:00.000,easyjet,,0.0,,0,1.03,539,519,13.5007,52.3622,0
arrival,landed,lfsb,8.0,2021-12-05t07:20:00.000,2021-12-05t07:20:00.000,2021-12-05t07:27:00.000,2021-12-05t07:27:00.000,2021-12-05t07:27:00.000,tlv,llbg,2021-12-05t12:25:00.000,2021-12-05t12:10:00.000,2021-12-05t12:12:00.000,2021-12-05t12:12:00.000,2021-12-05t12:12:00.000,easyjet,,0.0,,0,1.03,539,519,7.5292,47.59,0
arrival,landed,lfpo,16.0,2021-12-05t06:50:00.000,2021-12-05t06:50:00.000,2021-12-05t07:05:00.000,2021-12-05t07:05:00.000,2021-12-05t07:05:00.000,tlv,llbg,2021-12-05t12:35:00.000,2021-12-05t12:07:00.000,2021-12-05t12:07:00.000,2021-12-05t12:07:00.000,2021-12-05t12:07:00.000,transavia france,,0.0,,0,1.03,539,519,2.3794,48.7233,0
arrival,landed,liph,10.0,2021-12-05t08:00:00.000,2021-12-05t08:00:00.000,2021-12-05t08:10:00.000,2021-12-05t08:10:00.000,2021-12-05t08:10:00.000,tlv,llbg,2021-12-05t12:40:00.000,2021-12-05t12:17:00.000,2021-12-05t12:21:00.000,2021-12-05t12:21:00.000,2021-12-05t12:21:00.000,ryanair,,0.0,,0,1.03,539,519,12.1978,45.6508,0
arrival,scheduled,ugsb,93.0,2021-12-05t12:15:00.000,,2021-12-05t13:48:00.000,2021-12-05t13:48:00.000,2021-12-05t13:48:00.000,tlv,llbg,2021-12-05t12:40:00.000,,,,,israir airlines,,0.0,,0,1.03,539,519,41.5994,41.6102,0
arrival,landed,ukbb,38.0,2021-12-05t09:45:00.000,2021-12-05t09:45:00.000,2021-12-05t10:22:00.000,2021-12-05t10:22:00.000,2021-12-05t10:22:00.000,tlv,llbg,2021-12-05t12:55:00.000,2021-12-05t13:02:00.000,2021-12-05t13:05:00.000,2021-12-05t13:05:00.000,2021-12-05t13:05:00.000,uia,,10.0,,0,1.03,539,519,30.8933,50.3447,0
