,type,status,departure.icaoCode,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,airline.name,codeshared.airline.icaoCode,arrival.delay,arrival.baggage,Bad_Weather_today,R,new_sick_per_day,avg_for_7_days,longitude,latitude,cancel
13,arrival,landed,haab,16,2021-12-04t23:55:00.000,2021-12-04t23:55:00.000,2021-12-05t00:11:00.000,2021-12-05t00:11:00.000,2021-12-05t00:11:00.000,tlv,llbg,2021-12-05t03:00:00.000,2021-12-05t03:00:00.000,2021-12-05t03:03:00.000,2021-12-05t03:03:00.000,2021-12-05t03:03:00.000,el al,eth,3,,0,1.02,248,507,38.7994,8.975,1
14,arrival,landed,haab,16,2021-12-04t23:55:00.000,2021-12-04t23:55:00.000,2021-12-05t00:11:00.000,2021-12-05t00:11:00.000,2021-12-05t00:11:00.000,tlv,llbg,2021-12-05t03:00:00.000,2021-12-05t03:00:00.000,2021-12-05t03:03:00.000,2021-12-05t03:03:00.000,2021-12-05t03:03:00.000,ethiopian airlines,,3,,0,1.02,248,507,38.7994,8.975,1
15,arrival,landed,lszh,2,2021-12-04t22:45:00.000,2021-12-04t22:35:00.000,2021-12-04t22:46:00.000,2021-12-04t22:46:00.000,2021-12-04t22:46:00.000,tlv,llbg,2021-12-05t03:30:00.000,2021-12-05t03:18:00.000,2021-12-05t03:20:00.000,2021-12-05t03:20:00.000,2021-12-05t03:20:00.000,el al,swr,0,,0,1.02,248,507,8.5481,47.4581,1
16,arrival,landed,lszh,2,2021-12-04t22:45:00.000,2021-12-04t22:35:00.000,2021-12-04t22:46:00.000,2021-12-04t22:46:00.000,2021-12-04t22:46:00.000,tlv,llbg,2021-12-05t03:30:00.000,2021-12-05t03:18:00.000,2021-12-05t03:20:00.000,2021-12-05t03:20:00.000,2021-12-05t03:20:00.000,swiss,,0,,0,1.02,248,507,8.5481,47.4581,1
17,arrival,landed,epwa,35,2021-12-04t22:50:00.000,2021-12-04t22:50:00.000,2021-12-04t23:25:00.000,2021-12-04t23:25:00.000,2021-12-04t23:25:00.000,tlv,llbg,2021-12-05t03:35:00.000,2021-12-05t03:38:00.000,2021-12-05t03:37:00.000,2021-12-05t03:37:00.000,2021-12-05t03:37:00.000,lot - polish airlines,,2,,0,1.02,248,507,20.9672,52.1658,1
18,arrival,landed,egll,26,2021-12-04t21:00:00.000,2021-12-04t21:31:00.000,2021-12-04t21:26:00.000,2021-12-04t21:26:00.000,2021-12-04t21:26:00.000,tlv,llbg,2021-12-05t03:45:00.000,2021-12-05t03:38:00.000,2021-12-05t03:34:00.000,2021-12-05t03:34:00.000,2021-12-05t03:34:00.000,american airlines,ely,0,,0,1.02,248,507,-0.4614,51.4775,1
19,arrival,landed,egll,26,2021-12-04t21:00:00.000,2021-12-04t21:31:00.000,2021-12-04t21:26:00.000,2021-12-04t21:26:00.000,2021-12-04t21:26:00.000,tlv,llbg,2021-12-05t03:45:00.000,2021-12-05t03:38:00.000,2021-12-05t03:34:00.000,2021-12-05t03:34:00.000,2021-12-05t03:34:00.000,aeromexico,ely,0,,0,1.02,248,507,-0.4614,51.4775,1
20,arrival,landed,egll,26,2021-12-04t21:00:00.000,2021-12-04t21:31:00.000,2021-12-04t21:26:00.000,2021-12-04t21:26:00.000,2021-12-04t21:26:00.000,tlv,llbg,2021-12-05t03:45:00.000,2021-12-05t03:38:00.000,2021-12-05t03:34:00.000,2021-12-05t03:34:00.000,2021-12-05t03:34:00.000,el al,,0,,0,1.02,248,507,-0.4614,51.4775,1
21,arrival,landed,lfpg,14,2021-12-04t22:30:00.000,2021-12-04t22:44:00.000,2021-12-04t22:43:00.000,2021-12-04t22:43:00.000,2021-12-04t22:43:00.000,tlv,llbg,2021-12-05t03:50:00.000,2021-12-05t03:25:00.000,2021-12-05t03:28:00.000,2021-12-05t03:28:00.000,2021-12-05t03:28:00.000,aeromexico,ely,0,,0,1.02,248,507,2.5478,49.0097,1
22,arrival,landed,lfpg,14,2021-12-04t22:30:00.000,2021-12-04t22:44:00.000,2021-12-04t22:43:00.000,2021-12-04t22:43:00.000,2021-12-04t22:43:00.000,tlv,llbg,2021-12-05t03:50:00.000,2021-12-05t03:25:00.000,2021-12-05t03:28:00.000,2021-12-05t03:28:00.000,2021-12-05t03:28:00.000,el al,,0,,0,1.02,248,507,2.5478,49.0097,1
23,arrival,scheduled,egll,0,2021-12-04t21:15:00.000,,,,,tlv,llbg,2021-12-05t04:15:00.000,,,,,aeromexico,vir,0,,0,1.02,248,507,-0.4614,51.4775,1
24,arrival,scheduled,egll,0,2021-12-04t21:15:00.000,,,,,tlv,llbg,2021-12-05t04:15:00.000,,,,,delta air lines,vir,0,,0,1.02,248,507,-0.4614,51.4775,0
25,arrival,scheduled,egll,0,2021-12-04t21:15:00.000,,,,,tlv,llbg,2021-12-05t04:15:00.000,,,,,virgin atlantic,,0,,0,1.02,248,507,-0.4614,51.4775,0
26,arrival,landed,ukbb,22,2021-12-05t01:10:00.000,2021-12-05t01:10:00.000,2021-12-05t01:32:00.000,2021-12-05t01:32:00.000,2021-12-05t01:32:00.000,tlv,llbg,2021-12-05t04:20:00.000,2021-12-05t04:27:00.000,2021-12-05t04:23:00.000,2021-12-05t04:23:00.000,2021-12-05t04:23:00.000,uia,,3,,0,1.03,539,519,30.8933,50.3447,1
27,arrival,landed,lkpr,23,2021-12-04t23:45:00.000,2021-12-04t23:45:00.000,2021-12-05t00:07:00.000,2021-12-05t00:07:00.000,2021-12-05t00:07:00.000,tlv,llbg,2021-12-05t04:35:00.000,2021-12-05t04:29:00.000,2021-12-05t04:29:00.000,2021-12-05t04:29:00.000,2021-12-05t04:29:00.000,csa,tvs,0,143,0,1.02,248,507,14.26,50.1008,0
28,arrival,landed,lkpr,23,2021-12-04t23:45:00.000,2021-12-04t23:45:00.000,2021-12-05t00:07:00.000,2021-12-05t00:07:00.000,2021-12-05t00:07:00.000,tlv,llbg,2021-12-05t04:35:00.000,2021-12-05t04:29:00.000,2021-12-05t04:29:00.000,2021-12-05t04:29:00.000,2021-12-05t04:29:00.000,smartwings,,0,143,0,1.02,248,507,14.26,50.1008,0
29,arrival,landed,zspd,0,2021-12-04t23:30:00.000,2021-12-04t22:52:00.000,2021-12-04t22:37:00.000,2021-12-04t22:37:00.000,2021-12-04t22:37:00.000,tlv,llbg,2021-12-05t05:30:00.000,2021-12-05t04:05:00.000,2021-12-05t04:05:00.000,2021-12-05t04:05:00.000,2021-12-05t04:05:00.000,el al,,0,,0,1.02,248,507,121.7933,31.145,0
30,arrival,landed,ukbb,31,2021-12-05t03:50:00.000,2021-12-05t03:50:00.000,2021-12-05t04:21:00.000,2021-12-05t04:21:00.000,2021-12-05t04:21:00.000,tlv,llbg,2021-12-05t07:00:00.000,2021-12-05t07:08:00.000,2021-12-05t07:09:00.000,2021-12-05t07:09:00.000,2021-12-05t07:09:00.000,uia,,10,,0,1.03,539,519,30.8933,50.3447,1
31,arrival,cancelled,vhhh,0,2021-12-05t01:30:00.000,,,,,tlv,llbg,2021-12-05t07:15:00.000,,,,,cathay pacific,,0,,0,1.03,539,519,113.9147,22.3089,1
32,arrival,landed,ugtb,6,2021-12-05t07:05:00.000,2021-12-05t07:05:00.000,2021-12-05t07:10:00.000,2021-12-05t07:10:00.000,2021-12-05t07:10:00.000,tlv,llbg,2021-12-05t07:40:00.000,2021-12-05t07:44:00.000,2021-12-05t07:44:00.000,2021-12-05t07:44:00.000,2021-12-05t07:44:00.000,aircompany armenia,tgz,5,,0,1.03,539,519,44.9547,41.6692,1
33,arrival,landed,ugtb,6,2021-12-05t07:05:00.000,2021-12-05t07:05:00.000,2021-12-05t07:10:00.000,2021-12-05t07:10:00.000,2021-12-05t07:10:00.000,tlv,llbg,2021-12-05t07:40:00.000,2021-12-05t07:44:00.000,2021-12-05t07:44:00.000,2021-12-05t07:44:00.000,2021-12-05t07:44:00.000,georgian airways,,5,,0,1.03,539,519,44.9547,41.6692,1
34,arrival,landed,lcph,3,2021-12-05t07:00:00.000,2021-12-05t07:00:00.000,2021-12-05t07:03:00.000,2021-12-05t07:03:00.000,2021-12-05t07:03:00.000,tlv,llbg,2021-12-05t08:05:00.000,2021-12-05t07:48:00.000,2021-12-05t07:48:00.000,2021-12-05t07:48:00.000,2021-12-05t07:48:00.000,ryanair,,0,,0,1.03,539,519,32.485,34.7183,1
